"adult","backdrop_path","genre_ids","idDb","original_language","original_title","overview","popularity","poster_path","release_date","title","video","vote_average","vote_count","id"
false,"/h56edmERPTkey89SqyKu4hINVNy.jpg","[28,53]",575264,"en","Mission: Impossible - Dead Reckoning Part One","Ethan Hunt et son équipe de l’IMF se lancent dans leur mission la plus périlleuse à ce jour : traquer une effroyable nouvelle arme avant que celle-ci ne tombe entre de mauvaises mains et menace l’humanité entière. Le contrôle du futur et le destin du monde sont en jeu. Alors que les forces obscures de son passé ressurgissent, Ethan s’engage dans une course mortelle autour du globe. Confronté à un puissant et énigmatique ennemi, Ethan réalise que rien ne peut se placer au-dessus de sa mission - pas même la vie de ceux qu’il aime.",3264.457,"/nVIUNhVsG0HDwyOJihlpsSZ8SHR.jpg","2023-07-08","Mission : Impossible - Dead Reckoning Partie 1",false,7.7,2131,1
false,"/7NRGAtu8E4343NSKwhkgmVRDINw.jpg","[27,9648]",507089,"en","Five Nights at Freddy's","Un groupe d'animaux animatroniques interprète des chansons pour enfants le jour et fait des razzias meurtrières la nuit. Adaptation du jeu vidéo ""Five Nights at Freddy's"", au croisement du Survival Horror - action - stratégie.",2260.734,"/tEY81I7lpiHaLJa7AZ3O4vWXmJo.jpg","2023-10-25","Five Nights at Freddy's",false,8.2,1757,2
false,"/pA3vdhadJPxF5GA1uo8OPTiNQDT.jpg","[28,18]",678512,"en","Sound of Freedom","Après avoir sauvé un jeune garçon d'impitoyables trafiquants d'enfants, un agent fédéral apprend que la sœur du garçon est toujours captive et décide de la sauver aussi.",1965.129,"/1QsBNxLVcFI7kuwXYu7bxJsrajp.jpg","2023-07-03","Sound of Freedom",false,8.2,1228,3
false,"/tj7mp7uWjVw5N73G5Hwm1bkMOcD.jpg","[28,10752]",975902,"en","Boudica","",1140.624,"/ssEFC5wfFjj7lJpUgwJDOK1Xu1J.jpg","2023-10-26","Boudica",false,7,16,4
false,"/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg","[28,80,53]",385687,"en","Fast X","Après bien des missions et contre toute attente, Dom Toretto et sa famille ont su déjouer, devancer, surpasser et distancer tous les adversaires qui ont croisé leur route. Ils sont aujourd’hui face à leur ennemi le plus terrifiant et le plus intime : émergeant des brumes du passé, ce revenant assoiffé de vengeance est bien déterminé à décimer la famille en réduisant à néant tout ce à quoi, et surtout à qui Dom ait jamais tenu.",1062.686,"/piYNJlLvSlXYnXh6ZoKzhPdrMfV.jpg","2023-05-17","Fast & Furious X",false,7.2,4166,5
false,"/tC78Pck2YCsUAtEdZwuHYUFYtOj.jpg","[28,53,80]",926393,"en","The Equalizer 3","Depuis qu'il a renoncé à sa vie d'assassin au service du gouvernement, Robert McCall peine à enterrer les démons de son passé et trouve un étrange réconfort en défendant les opprimés. Alors qu'il pense avoir trouvé un havre de paix dans le sud de l'Italie, il découvre que ses amis sont sous le contrôle de la mafia locale. Quand les évènements prennent une tournure mortelle, McCall sait exactement ce qu'il doit faire : protéger ses amis en s'attaquant directement à la pègre.",872.633,"/go2gtucO5LT92jnU40pbD0LImgg.jpg","2023-08-30","Equalizer 3",false,7.4,1469,6
false,"/eSsMzJpzAwCa69tm6Wco2il44aJ.jpg","[28,80,18,53]",939335,"en","Muzzle","Jake Rosser, officier de police dans l'équipe cynophile de Los Angeles, voit son partenaire dévoué mourir, abattu par un mystèrieux agresseur. Alors qu'il recherche l'identité du tireur, il découvre un vaste réseau de flics corrompus imposant sa loi dans toute la ville...",923.333,"/qXChf7MFL36BgoLkiB3BzXiwW82.jpg","2023-09-29","Muzzle",false,6.4,93,7
false,"/dZbLqRjjiiNCpTYzhzL2NMvz4J0.jpg","[27,53]",951491,"en","Saw X","Dans l'espoir d'une guérison miraculeuse, John Kramer se rend au Mexique pour une procédure médicale risquée et expérimentale, pour découvrir que toute l'opération est une arnaque visant à escroquer les plus vulnérables. Armé d'un nouvel objectif, le tristement célèbre tueur en série utilise des pièges dérangés et ingénieux pour renverser la situation contre les escrocs.",907.74,"/u7Lp1Hi8aBS73jv4KRMIv5aK4ax.jpg","2023-09-26","Saw X",false,7.3,921,8
false,"/rMvPXy8PUjj1o8o1pzgQbdNCsvj.jpg","[28,12,53]",299054,"en","Expend4bles","Armés de toutes les armes dont ils peuvent disposer, les Expendables sont la dernière ligne de défense du monde et l'équipe que l'on appelle lorsque toutes les autres options ne sont plus possibles. Le mercenaire Barney Ross et son équipe affrontent un marchand d'armes et son armée privée.",811.877,"/78C8PQ6bcmMkIwaLEyZ2TSriLI.jpg","2023-09-15","Expend4bles",false,6.5,624,9
false,"/iiXliCeykkzmJ0Eg9RYJ7F2CWSz.jpg","[28,53,80]",762430,"en","Retribution","Un homme d'affaires découvre qu'une bombe a été placée dans la voiture qu'il conduit par un assaillant inconnu. Ce dernier lui ordonne d'exécuter une série d'actions tout au long de la journée ou la bombe explosera... le tuant lui et sa famille.",771.76,"/5tUBMM1poZRmflHC40aWQ5TNr2f.jpg","2023-08-23","Retribution",false,7,601,10
