"id","movie_Id","air_date","nbr_episodes","name","poster_path","vote_average"
1,84958,"2021-06-09",6,"Saison 1","/ciAfVxYhRfttiitTHZ7LcVr0WIT.jpg",7.8
2,84958,"2023-10-05",6,"Saison 2","/9rPk2wGQU2Z1La13FVf0t0gRD7s.jpg",7.1
3,569,"2002-11-04",1,"Saison 1","null",0
4,569,"2006-03-06",2,"Saison 4","null",0
5,569,"2023-01-03",194,"Saison 22","null",0
6,218145,"2023-01-09",109,"Saison 1","/fH7PP2Rkdlo414IHvZABBHhtoqd.jpg",1
7,218145,"2023-09-04",60,"Saison 2","/31YmQACSO7aa9t7N5aCVIRvNNSd.jpg",0
8,219109,"2023-09-25",42,"Saison 1","/m0cvvnhnRXdQhLARx7qt9lz7hTE.jpg",0
9,72879,"2019-06-10",2,"Épisodes spéciaux","/sG10mLNqedPw5nhmnXSje3ndY7H.jpg",0
10,72879,"2017-07-17",1554,"Saison 1","/vVIBtSfmLFSVvhtpzSfE0pbi0lQ.jpg",10
11,61818,"2014-02-25",99,"Saison 1","/6aTObv741nQNeIrNhevVw3OlVQw.jpg",0
12,61818,"2014-09-23",161,"Saison 2","null",0
13,61818,"2015-09-22",160,"Saison 3","/orQvRPb1z9kn5RVLSsgho12ewdT.jpg",0
14,61818,"2016-09-20",162,"Saison 4","/70HgdTd69cRnOacgMIASbZQxN3E.jpg",0
15,61818,"2017-09-26",154,"Saison 5","/v1fAG12xYzL3kffiafg0bKRyaQE.jpg",0
16,61818,"2018-09-25",150,"Saison 6","/dt8U83lifi93nigRUYiZTbdGnXR.jpg",0
17,61818,"2019-09-24",153,"Saison 7","/znZq21RmXsPbIu7AcTpPetMT3NP.jpg",0
18,61818,"2020-09-22",155,"Saison 8","null",0
19,61818,"2021-09-21",137,"Saison 9","null",0
20,61818,"2022-09-20",91,"Saison 10","null",0
21,61818,"2023-10-03",24,"Saison 11","null",0
22,101463,"2011-01-10",1,"Saison 1","null",0
23,101463,"2011-09-05",1,"Saison 2","null",0
24,101463,"2012-09-03",1,"Saison 3","null",0
25,101463,"2013-09-02",1,"Saison 4","null",0
26,101463,"2014-09-01",1,"Saison 5","null",0
27,101463,"2015-09-07",1,"Saison 6","null",0
28,101463,"2016-08-30",1,"Saison 7","null",0
29,101463,"2017-09-04",1,"Saison 8","null",0
30,101463,"2018-09-10",1,"Saison 9","null",0
31,101463,"2019-09-02",1,"Saison 10","null",0
32,101463,"2020-09-07",1,"Saison 11","null",0
33,101463,"2021-09-06",5,"Saison 12","null",0
34,101463,"2022-09-05",240,"Saison 13","null",0
35,101463,"2023-08-16",79,"Saison 14","null",0
36,226411,"2023-06-12",110,"Saison 1","/wysp5AcY9JpLjje5NunKYw7Mrtc.jpg",9
37,225660,"2023-07-25",54,"Saison 1","null",0
38,225660,"2023-09-29",38,"Saison 2","/sesPg54Ph0ydP96kzhYlmsUTPA3.jpg",0
39,82250,"2004-01-22",14,"Saison 1","null",1
40,82250,"2005-01-06",12,"Saison 2","null",0
41,82250,"2015-01-11",13,"Saison 3","null",0
42,82250,"2016-01-07",15,"Saison 4","null",0
43,82250,"2017-01-08",17,"Saison 5","null",0
44,82250,"2018-09-12",68,"Saison 6","null",0
45,82250,"2019-09-11",48,"Saison 7","null",5
46,82250,"2023-09-14",77,"Saison 8","/9269PATr0bmEXKjkpR88mzGmNYI.jpg",0
47,206559,"2005-10-13",52,"Saison 1","null",0
48,206559,"2006-04-13",88,"Saison 2","null",0
49,206559,"2007-05-09",260,"Saison 3","null",0
50,206559,"2008-05-07",260,"Saison 4","null",0
51,206559,"2009-05-07",237,"Saison 5","null",0
52,206559,"2010-04-05",260,"Saison 6","null",0
53,206559,"2011-04-04",260,"Saison 7","null",0
54,206559,"2012-04-02",260,"Saison 8","null",0
55,206559,"2013-04-01",260,"Saison 9","null",0
56,206559,"2014-03-31",260,"Saison 10","/n8or9JBQ52qELY7TccfLbB3FLws.jpg",0
57,206559,"2015-03-30",260,"Saison 11","null",0
58,206559,"2016-03-28",315,"Saison 12","null",0
59,206559,"2017-06-12",260,"Saison 13","null",0
60,206559,"2018-06-11",260,"Saison 14","null",0
61,206559,"2019-06-10",260,"Saison 15","null",0
62,206559,"2020-06-08",260,"Saison 16","/2g4RnUinfqMyeQnwNpRROkbgbRQ.jpg",0
63,206559,"2021-06-07",260,"Saison 17","/5URikDdjnciD9t5VgqMpcIKQyVU.jpg",0
