"id","backdrop_path","first_air_date","genre_ids","idDb","name","origin_country","original_language","original_name","overview","popularity","poster_path","vote_average","vote_count","nbr_seasons","nbr_episodes","page"
1,"/q3jHCb4dMfYF6ojikKuHd6LscxC.jpg","2021-06-09","[18,10765]",84958,"Loki","[""US""]","en","Loki","La nouvelle série Disney+ Original des studios Marvel, Loki, se déroule après les événements relatés dans « Avengers: Endgame ». Elle met en scène le dieu de la malice juste après qu’il s'est affranchi de son frère Thor.",3150.287,"/zNwEwSXojMrQapZHQx5fO8iph4R.jpg",8.2,10492,2,12,1
2,"/4w3AZvQMdzOS7oXXrrPnRD59dBr.jpg","2002-11-04","[10767]",569,"Around the Horn","[""US""]","en","Around the Horn","",3121.544,"/jGJUpb4fZPaIs1oyFKn0AGjOq5b.jpg",4.4,5,3,197,1
3,"/l7LRGYJY3NzIGBlpvHpMsNXHbm5.jpg","2023-01-09","[10751,35]",218145,"Mama na prenájom","[""SK""]","sk","Mama na prenájom","",3097.149,"/fH7PP2Rkdlo414IHvZABBHhtoqd.jpg",6.1,8,2,169,1
4,"/218ZehBKlH8efPRRccmB7bu0oLQ.jpg","2023-09-25","[35,9648,10766,18]",219109,"Elas por Elas","[""BR""]","pt","Elas por Elas","",3026.18,"/hCSH5KvSqShWXhFiXr88wtJXwlO.jpg",9.6,5,1,42,1
5,"/9TXcHOeCsM8W3ZKKIKjdYUsRSeq.jpg","2017-07-17","[80,18]",72879,"Demain nous appartient","[""FR""]","fr","Demain nous appartient","La baie de Sète. Une violente explosion. Au milieu du chaos, une mère cherche son fils. Etait-il sur l’un des bateaux qui se sont percutés ? Aurait-il participé à ce qui apparaît très vite comme un meurtre ? Prête à tout pour protéger son enfant, sa vie bascule complètement lorsque l’on retrouve sur une plage le corps d’une femme, sa propre sœur, qu’elle n’a pas revue depuis plus de quinze ans…",2895.836,"/3uU5uJzOX7xe7mn7YKpBM9oiEZO.jpg",6.3,42,1,1554,1
6,"/5AkPhazx8F0Ht74CUdJU03vNzBi.jpg","2014-02-25","[10767]",61818,"Late Night with Seth Meyers","[""US""]","en","Late Night with Seth Meyers","",2568.089,"/x5asOuPOjW21e0Ykkvkuzu1TGEl.jpg",5.5,53,11,1446,1
7,"/69Jblm3seQgiPuPQMrJqg9Nxhaz.jpg","2011-01-10","[10763,10767]",101463,"Al rojo vivo","[""ES""]","es","Al rojo vivo","",2397.774,"/ag6PmoBxkF2s1uY3An618NCEt3g.jpg",3.4,20,14,335,1
8,"/i4n8ZKmCUaxcGMkPhm12selZiff.jpg","2023-06-12","[18,10766]",226411,"Mía es la venganza","[""ES""]","es","Mía es la venganza","",2364.718,"/wysp5AcY9JpLjje5NunKYw7Mrtc.jpg",7,61,1,110,1
9,"/2N4LXvTkUwPRkbvyzdmzvtnCHgR.jpg","2023-07-25","[]",225660,"Pira-Pirasong Paraiso","[""PH""]","tl","Pira-Pirasong Paraiso","",2304.787,"/gELcO56G9EsUj6LSjaDq8VvI8De.jpg",6,22,2,92,1
10,"/hwUQsL1cWt0bmbTxzCompqqvTH9.jpg","2004-01-22","[10764]",82250,"Gran hermano VIP","[""ES""]","es","Gran hermano VIP","",2138.001,"/9269PATr0bmEXKjkpR88mzGmNYI.jpg",4,7,8,264,1
11,"/eWF3oRyL4QWaidN9F4uvM7cBJUV.jpg","2005-10-13","[10766]",206559,"Binnelanders","[""ZA""]","af","Binnelanders","",2134.166,"/v9nGSRx5lFz6KEgfmgHJMSgaARC.jpg",4.9,16,19,4461,1
12,"/72iLiVaagM42DSygSs4xAnXvDzh.jpg","2023-10-02","[16]",233643,"しーくれっとみっしょん～潜入捜査官は絶対に負けない！～","[""JP""]","ja","しーくれっとみっしょん～潜入捜査官は絶対に負けない！～","L'histoire suit deux agents sous couverture, RIko Ikazuchi et son jeune partenaire, Noma, alors qu'ils s'infiltrent dans l'immeuble d'une organisation criminelle, prétendants être jeunes mariés. Toutefois, les suspects commencent à avoir des doutes quant à la nature de leur relation en raison de leurs nuits bien trop calmes. Afin de leur prouver qu'ils sont un couple marié et actif, le duo commence à pimenter leurs nuits… Pour la justice, bien sûr.",2118.75,"/ipqu76qqHiVB2vlK2gGZNwF9SwX.jpg",5.5,9,1,5,1
13,"/mlX6SG7lJ0BiLui5x5Nu4agetBA.jpg","2014-05-26","[10766,18]",82708,"Brugklas","[]","nl","Brugklas","Brugklas est une série néerlandaise pour la jeunesse, dans laquelle des situations réelles sont reconstituées. La série met en lumière des sujets auxquels les élèves de la première année de l'enseignement secondaire peuvent être confrontés.",2100.521,"/6Gr6rggaHHeUKgxEXONRyC66oRG.jpg",5.5,6,12,512,1
14,"/46PJ9taXITt1aXPZTMJXpBw5MlU.jpg","2023-08-21","[]",232937,"Minas de Pasión","[""MX""]","es","Minas de Pasión","",2032.198,"/lLJBisfhikqTD0Cj9a2ZJw5kyOe.jpg",7.4,22,1,60,1
15,"/9xxLWtnFxkpJ2h1uthpvCRK6vta.jpg","1999-09-20","[80,18,9648]",2734,"New York : Unité spéciale","[""US""]","en","Law & Order: Special Victims Unit","Une unité spéciale de la police de New York enquête sur des crimes à connotation sexuelle en prenant en charge les victimes.",2007.471,"/npyBMCzTbjtUZmQ1imOygiw3AaG.jpg",8,3429,24,538,1
16,"/zKBkTNmsNdUjkW4mBBDEh1WwBPP.jpg","2023-08-07","[18,9648]",229947,"우아한 제국","[""KR""]","ko","우아한 제국","",1937.033,"/xIsP0ODLawVkw8BInjJbX1LQFbd.jpg",8.5,2,1,60,1
17,"/aWPhMZ0P2DyfWB7k5NXhGHSZHGC.jpg","2023-05-08","[18,80,10766]",209265,"Terra e Paixão","[""BR""]","pt","Terra e Paixão","",1919.911,"/5kCMJ0vVzN9PsoamKctNnUz68Q2.jpg",6.5,123,1,162,1
18,"/yYNa1nqvNK94xZz3eKyfvZdAvPi.jpg","2020-11-02","[10766]",112470,"Ici tout commence","[""FR""]","fr","Ici tout commence","Cette nouvelle série se déroule dans la prestigieuse école de cuisine du chef étoilé, Auguste Armand. Tandis que les élèves suivent l'apprentissage de la gastronomie, des zones d'ombre et des tensions familiales et professionnelles se révèlent.",1887.91,"/60cqjI590JKXCAABqCStVmSBGET.jpg",6.8,30,1,793,2
19,"/oOce9hLMVFubjAJliau4kiSNPnW.jpg","1990-09-13","[80,18]",549,"New York, police judiciaire","[""US""]","en","Law & Order","À New York, détectives et assistants du procureur tentent de résoudre les affaires les plus délicates. Les uns sur le terrain, les autres devant les tribunaux.",1886.856,"/rXp8dYYdEPLTq8LUbWReOCSkvgt.jpg",7.5,467,22,488,2
20,"/yii7eIlaw1MRMfa7FTA6mW8hBUQ.jpg","2023-08-14","[35,10766]",213026,"Fuzuê","[""BR""]","pt","Fuzuê","",1754.923,"/zNNFg8z3z7uT817n6M0kHRcYwq1.jpg",5.8,20,1,84,2
21,"/k3gglFokJMY7zdaEgaTp4w9Plh3.jpg","2023-10-08","[10764]",236594,"Big Brother: Late and Live","[""GB""]","en","Big Brother: Late and Live","",1737.105,"/lRjcycXVYYaS2ix4TI8ISoivP1B.jpg",0,0,1,36,2
